Table.Name;Field.Name;DataType
gp_Language;lng_Code;String
gp_Language;lng_Name;String
AntibioticResult;abrs_InstrumentComment;String
BloodProduct;blpr_CheckWhenAntibodies;Logical
PersonMedicalRecord;prmr_HLATypeSero;String
PersonMedicalRecord;prmr_HLATypeDNA;String
PersonMedicalRecord;prmr_HLAAntigens;String
PersonMedicalRecord;prmr_HLAAntibodies;String
sc_User;usr_Id;INT64
sc_User;usr_LoginName;Mnemonic
sc_User;usr_Password;String
sc_Privilege;priv_Id;INT64
sc_Privilege;priv_Name;String
sc_UserPrivilege;upv_User;INT64
sc_UserPrivilege;upv_Privilege;INT64
sc_FieldPrivilege;fdpv_Field;INT64
sc_FieldPrivilege;fdpv_Privilege;INT64
sc_FieldPrivilege;fdpv_AccessType;Enumerated
sc_TablePrivilege;tbpv_Table;INT64
sc_TablePrivilege;tbpv_Privilege;INT64
sc_TablePrivilege;tbpv_AccessType;Enumerated
gp_Holiday;hday_Date;Date
sc_User;usr_PasswordDate;Date
sc_User;usr_Enabled;Logical
gp_Language;lng_Id;INT64
sc_User;usr_Language;INT64
rp_Printer;rpp_Id;INT64
rp_Printer;rpp_Name;String
rt_Table;rttb_Id;INT64
rt_Table;rttb_Name;String
rt_Field;rtfd_Id;INT64
rt_Field;rtfd_Name;Mnemonic
rt_Field;rtfd_Table;INT64
Country;cnty_Id;INT64
Country;cnty_AddressType;Enumerated
Municipality;mncp_Id;INT64
Municipality;mncp_Name;String
Municipality;mncp_Country;INT64
Municipality;mncp_PostalCode;String
Municipality;mncp_Street;String
Municipality;mncp_BoxEven;Logical
Municipality;mncp_BoxMinimum;Positive integer
Municipality;mncp_BoxMaximum;Positive integer
Dimension;dim_Id;INT64
Dimension;dim_Name;String
Unit;unit_Id;INT64
Unit;unit_Name;String
Unit;unit_Dimension;INT64
Unit;unit_Coefficient;Fractional
Unit;unit_Term;Fractional
Dimension;dim_BaseUnit;INT64
Material;mat_Id;INT64
Material;mat_Mnemonic;Mnemonic
Material;mat_SizeUnit;INT64
Property;prop_Id;INT64
Property;prop_Mnemonic;Mnemonic
Conversion;cnv_DimensionIn;INT64
Conversion;cnv_DimensionOut;INT64
Conversion;cnv_Coefficient;Fractional
Conversion;cnv_Term;Fractional
Conversion;cnv_InputMaterial;INT64
Conversion;cnv_OutputProperty;INT64
Station;stn_Id;INT64
Station;stn_Name;String
Station;stn_SerialNumber;String
Station;stn_LastMaintenance;Date
Station;stn_LastCalibration;Date
Station;stn_Available;Logical
Correspondent;crsp_Id;INT64
Correspondent;crsp_InternalId;String
Correspondent;crsp_AddressLine1;String
Correspondent;crsp_AddressLine2;String
Correspondent;crsp_Municipality;INT64
Correspondent;crsp_Phone;String
Correspondent;crsp_Fax;String
Correspondent;crsp_Modem;String
Correspondent;crsp_Email;String
Correspondent;crsp_Language;INT64
Correspondent;crsp_Type;Enumerated
rp_Printer;rpp_LeftLimit;Fractional
rp_Printer;rpp_TopLimit;Fractional
Person;prsn_Id;INT64
Person;prsn_LastName;String
Person;prsn_FirstName;String
Person;prsn_Title;String
Organization;org_Id;INT64
rp_Printer;rpp_PrintCommand;String
Person;prsn_InternalId;String
Person;prsn_ExternalId;String
Person;prsn_BirthDate;Date
Person;prsn_Mother;INT64
Organization;org_Mnemonic;Mnemonic
Institution;inst_Id;INT64
Ward;ward_Id;INT64
Lab;lab_Id;INT64
Department;dept_Id;INT64
Encounter;enct_Id;INT64
